REJECTED | reason=characters changed: [አንበሳውስጋስላየአጉረመረመ] → [አንበሳውስጋስላጠአጉረመረመ] | original=[አንበሳው ስጋ ስላ የ አጉረመረ መ] | corrected=[አንበሳው ስጋ ስላጠ አጉረመረመ]
REJECTED | reason=characters changed: [የኢኮኖሚናየንግድፖሊሲዎችምለኢትዮጵያካላቸውጠቀሜታአንጻርእንጂከባእዳንርእዮተአለምናጥቅምጀርባእየተጫነሊራገፍብንእንደማይገባምአስተያየትተሰጥቶበታል] → [የኢኮኖሚናየንግድፖሊሲዎችምለኢትዮጵያካላቸውጠቀሜታአንጻርእንጂከባእዳንርእዮተአለምናጥቅምጀርባእየተጫነሊራገፍብንእንደማይገባምአስተያየትተሰጥቦታል] | original=[የ ኢኮኖሚ ና የ ንግድ ፖሊሲዎች ም ለ ኢትዮጵያ ካ ላቸው ጠቀሜታ አንጻር እንጂ ከ ባእዳን ርእዮተ አለም ና ጥቅም ጀርባ እ የተጫነ ሊ ራገፍ ብን እንደማይገባ ም አስተያየት ተሰጥቶ በታል] | corrected=[የኢኮኖሚ ና የንግድ ፖሊሲዎችም ለኢትዮጵያ ካላቸው ጠቀሜታ አንጻር እንጂ ከባእዳን ርእዮተ አለም ና ጥቅም ጀርባ እየተጫነ ሊራገፍብን እንደማይገባም አስተያየት ተሰጥቦታል]
REJECTED | reason=characters changed: [ስለክሪስትያንቪዬሪምንትላለህ] → [ስለክርስቲያንቪዬሪምንትላለህ] | original=[ስለ ክሪስ ት ያን ቪዬሪ ም ን ት ላለህ] | corrected=[ስለክርስቲያን ቪዬሪ ምን ትላለህ]
REJECTED | reason=characters changed: [የኢትዮጵያአንገትናችሁተብለውየተመጻደቁየኢትዮጵያጫማመሆናቸውንልንነግራቸውይገባል] → [የኢትዮጵያአንገትናቸውተብለውየተመጻደቁየኢትዮጵያጫማመሆናቸውንልንነግራቸውይገባል] | original=[የ ኢትዮጵያ አንገት ና ችሁ ተብለው የተ መጻደቁ የ ኢትዮጵያ ጫማ መሆናቸው ን ልን ነ ግራቸው ይገባል] | corrected=[የኢትዮጵያ አንገትናቸው ተብለው የተመጻደቁ የኢትዮጵያ ጫማ መሆናቸውን ልንነግራቸው ይገባል]
REJECTED | reason=characters changed: [ዶክተርፍስሀጊዜያችንንናገንዘባችንንበከንቱአባክነውብናልይላሉየዩኒቲኮሌጅተማሪዎች] → [ዶክተርፍስሀጊዜያችንናገንዘባችንንበከንቱአባክነውብናልይላሉየዩኒቲኮሌጅተማሪዎች] | original=[ዶክተር ፍስሀ ጊዜያችን ንና ገንዘባችን ን በ ከንቱ አ ባክነው ብናል ይላሉ የ ዩኒቲ ኮሌጅ ተማሪዎች] | corrected=[ዶክተር ፍስሀ ጊዜያችንና ገንዘባችንን በከንቱ አባክነው ብናል ይላሉ የዩኒቲ ኮሌጅ ተማሪዎች]
REJECTED | reason=characters changed: [ጥረታችንንናውጤታችንንእንድናውቀውመደረጉባልከፋም] → [ጥረታችንናውጤታችንንእንድናውቀውመደረጉባልከፋም] | original=[ጥረታችን ንና ውጤታችን ን እንድና ውቀው መደረጉ ባል ከፋ ም] | corrected=[ጥረታችንና ውጤታችንን እንድናውቀው መደረጉ ባልከፋም]
REJECTED | reason=characters changed: [በመስተዳድሩስርባሉቢሮዎችየሚገኙትንናእውቀትያላቸውንሰራተኞችማሰራትናመስራትከሀላፊዎችየሚጠበቅእንደሆነምተናግሯል] → [በመስተዳድሩስርባሉቢሮዎችየሚገኙትናእውቀትያላቸውንሰራተኞችማሰራትናመስራትከሀላፊዎችየሚጠበቅእንደሆነምተናግሯል] | original=[በ መስተዳድሩ ስር ባሉ ቢሮዎች የሚገኙት ንና እውቀት ያ ላቸውን ሰራተኞች ማሰራት ና መስራት ከ ሀላፊዎች የሚጠበቅ እንደሆነ ም ተናግ ሯል] | corrected=[በመስተዳድሩ ስር ባሉ ቢሮዎች የሚገኙትና እውቀት ያላቸውን ሰራተኞች ማሰራት ና መስራት ከሀላፊዎች የሚጠበቅ እንደሆነም ተናግሯል]
REJECTED | reason=characters changed: [በተያያዘዜናምበዘንድሮረመዳንየሙስሊምሴቶችየዳእዋንየሰለተልተራዊህስግደትከወንዶችበልጦመገኘቱተገለጸ] → [በተያያዘዜናምበዘንድሮረመዳንየሙስሊምሴቶችየዳዕዋንየሰለተልተራዊህስግደትከወንዶችበልጦመገኘቱተገለጸ] | original=[በ ተያያዘ ዜና ም በ ዘንድሮ ረመዳን የ ሙስሊም ሴቶች የ ዳ እ ዋን የሰለ ተል ተራዊህ ስግደት ከ ወንዶች በልጦ መገኘቱ ተገለጸ] | corrected=[በተያያዘ ዜናም በዘንድሮ ረመዳን የሙስሊም ሴቶች የዳዕዋን የሰለተልተራዊህ ስግደት ከወንዶች በልጦ መገኘቱ ተገለጸ]
REJECTED | reason=characters changed: [ገበየሁንባልቻንመኮንንንአባተንመንገሻንተክለሀይማኖትንሌሎችንምታላላቅመኳንንትናመሳፍንትማንሳትይቻላል] → [ገበየሁንባልቻንመኮንንአባተንመንገሻንተክለሀይማኖትንሌሎችንምታላላቅመኳንንትናመሳፍንትማንሳትይቻላል] | original=[ገበየሁ ን ባልቻ ን መኮንን ን አባተ ን መንገሻ ን ተክለ ሀይማኖት ን ሌሎች ንም ታላላቅ መኳንንት ና መሳፍንት ማንሳት ይቻላል] | corrected=[ገበየሁን ባልቻን መኮንን አባተን መንገሻን ተክለሀይማኖትን ሌሎችንም ታላላቅ መኳንንትና መሳፍንት ማንሳት ይቻላል]
REJECTED | reason=characters changed: [ምለስበበኩላቸውየሀገራቸውንኢኮኖሚለማሳደግየባንኩእርዳታእንደሚያስፈልጋቸውገልጸዋል] → [መለስበበኩላቸውየሀገራቸውንኢኮኖሚለማሳደግየባንኩእርዳታእንደሚያስፈልጋቸውገልጸዋል] | original=[ም ለ ስ በ በኩላቸው የ ሀገራቸው ን ኢኮኖሚ ለ ማሳደግ የ ባንኩ እርዳታ እንደሚ ያስፈልጋቸው ገልጸዋል] | corrected=[መለስ በበኩላቸው የሀገራቸውን ኢኮኖሚ ለማሳደግ የባንኩ እርዳታ እንደሚያስፈልጋቸው ገልጸዋል]
REJECTED | reason=characters changed: [ሬውተርእንደዘገበውማስጠንቀቅያውንለኤርትራመንግስትየላከውየየመንየውጭጉዳይሚኒስቴርነው] → [ሬውተርእንደዘገበውማስጠንቀቂያውንለኤርትራመንግስትየላከውየየመንየውጭጉዳይሚኒስቴርነው] | original=[ሬውተር እንደ ዘገበው ማስጠንቀቅ ያውን ለ ኤርትራ መንግስት የ ላከው የ የመን የውጭ ጉዳይ ሚኒስቴር ነው] | corrected=[ሬውተር እንደዘገበው ማስጠንቀቂያውን ለኤርትራ መንግስት የላከው የየመን የውጭ ጉዳይ ሚኒስቴር ነው]
REJECTED | reason=characters changed: [ችግሩግንሜዳላይበራስመተማመንበተሞላበትስሜትእንዳትጫወትተጽእኖማድረጉነው] → [ችግሩግንሜዳላይበራስመተማመንበተሞላበትስሜትእንዳትጫወተተጽእኖማድረጉነው] | original=[ችግሩ ግን ሜዳ ላይ በ ራስ መተማመን በተ ሞላበት ስሜት እንዳት ጫወት ተጽእኖ ማድረጉ ነው] | corrected=[ችግሩ ግን ሜዳ ላይ በራስ መተማመን በተሞላበት ስሜት እንዳት ጫወተ ተጽእኖ ማድረጉ ነው]
REJECTED | reason=characters changed: [የሌሎችዩኒቨርስቲተማሪዎችንምአፈናቅለናል] → [የሌሎችዩኒቨርስቲተማሪዎችንምአፈናቀልናል] | original=[የ ሌሎች ዩኒቨርስቲ ተማሪዎች ንም አፈናቅ ለናል] | corrected=[የሌሎች ዩኒቨርስቲ ተማሪዎችንም አፈናቀልናል]
REJECTED | reason=characters changed: [በውጭየሚኖሩኢትዮጵያውያንከተቋቋመመውዳይሬክቶሬትጋርግንኙነታቸውንእንዲያጠናክሩተጠየቀ] → [በውጭየሚኖሩኢትዮጵያውያንከተቋቋመውዳይሬክቶሬትጋርግንኙነታቸውንእንዲያጠናክሩተጠየቀ] | original=[በውጭ የሚኖሩ ኢትዮጵያውያ ን ከ ተቋቋመ መው ዳይሬ ክቶሬት ጋር ግንኙነታቸው ን እንዲያ ጠናክሩ ተጠየቀ] | corrected=[በውጭ የሚኖሩ ኢትዮጵያውያን ከተቋቋመው ዳይሬክቶሬት ጋር ግንኙነታቸውን እንዲያጠናክሩ ተጠየቀ]
REJECTED | reason=characters changed: [ልጄሞቷልያለችእናትእንደገናበተስፋአለቀሰችትግሉኢትዮጵያንንበጦርነትለማሸነፍሳይሆንምርኮኞችንለማስለቀቅሆነ] → [ልጄሞቷልያለችእናትእንደገናበተስፋአለቀሰችትግሉኢትዮጵያንበጦርነትለማሸነፍሳይሆንምርኮኞችንለማስለቀቅሆነ] | original=[ልጄ ሞ ቷል ያለች እናት እንደ ገና በ ተስፋ አለቀሰ ች ትግሉ ኢትዮጵያ ን ን በ ጦርነት ለ ማሸነፍ ሳይሆን ምርኮኞች ን ለ ማስለቀቅ ሆነ] | corrected=[ልጄ ሞቷል ያለች እናት እንደገና በተስፋ አለቀሰች ትግሉ ኢትዮጵያን በጦርነት ለማሸነፍ ሳይሆን ምርኮኞችን ለማስለቀቅ ሆነ]
REJECTED | reason=characters changed: [ተማሪዎቹየትምህርትሚኒስቴርንህንጻየኢትዮጵያንግድባንክንየኢትዮጵያቴሌቪዥንንመኪናንየኢትዮጵያፕሬስድርጅትመኪናንመስተዋትሰባብረዋል] → [ተማሪዎቹየትምህርትሚኒስቴርንህንጻየኢትዮጵያንግድባንክንየኢትዮጵያቴሌቪዥንመኪናንየኢትዮጵያፕሬስድርጅትመኪናንመስተዋትሰባብረዋል] | original=[ተማሪዎቹ የ ትምህርት ሚኒስቴር ን ህንጻ የ ኢትዮጵያ ንግድ ባንክ ን የ ኢትዮጵያ ቴሌቪዥን ን መኪና ን የ ኢትዮጵያ ፕሬስ ድርጅት መኪና ን መስተዋት ሰባብረ ዋል] | corrected=[ተማሪዎቹ የትምህርት ሚኒስቴርን ህንጻ የኢትዮጵያ ንግድ ባንክን የኢትዮጵያ ቴሌቪዥን መኪናን የኢትዮጵያ ፕሬስ ድርጅት መኪናን መስተዋት ሰባብረዋል]
REJECTED | reason=characters changed: [አንዳንዶቹበኤርትራላይምንምሽንፈትእንዳልደረሰናከቶውንምወታደራዊገዥመሬትይዘውየበለጠመሽገውናተጠናክረውእንደሚጊኙለማሳመንይሞክራሉ] → [አንዳንዶቹበኤርትራላይምንምሽንፈትእንዳልደረሰናከቶውንምወታደራዊገዥመሬትይዘውየበለጠመሽገውናተጠናክረውእንደሚኙለማሳመንይሞክራሉ] | original=[አንዳንዶቹ በ ኤርትራ ላይ ም ንም ሽንፈት እንዳልደረሰ ና ከቶ ውንም ወታደራዊ ገዥ መሬት ይዘው የበለጠ መሽገው ና ተ ጠናክረው እንደሚ ጊ ኙ ለ ማሳመን ይሞ ክራሉ] | corrected=[አንዳንዶቹ በኤርትራ ላይ ምንም ሽንፈት እንዳልደረሰና ከቶውንም ወታደራዊ ገዥ መሬት ይዘው የበለጠ መሽገውና ተጠናክረው እንደሚኙ ለማሳመን ይሞክራሉ]
REJECTED | reason=characters changed: [ጠቅላይሚኒስትሩዛሬምንምሳላምንበትሬትሬትእያለኝለብዙሀኑሀሳብተገዥሆኜሄጃለሁእያሉበሰሞኑስብሰባላይእንደተናገሩሰምተናል] → [ጠቅላይሚኒስትሩዛሬምምንምሳላምንበትሬትሬትእያለኝለብዙሀኑሀሳብተገዥሆኜሄጃለሁእያሉበሰሞኑስብሰባላይእንደተናገሩሰምተናል] | original=[ጠቅላይ ሚኒስትሩ ዛሬ ም ንም ሳላ ም ን በት ሬት ሬት እያ ለ ኝ ለ ብዙሀኑ ሀሳብ ተገዥ ሆኜ ሄ ጃለሁ እያሉ በ ሰሞኑ ስብሰባ ላይ እንደ ተናገሩ ሰምተናል] | corrected=[ጠቅላይ ሚኒስትሩ ዛሬም ምንም ሳላምን በትሬት ሬት እያለኝ ለብዙሀኑ ሀሳብ ተገዥ ሆኜ ሄጃለሁ እያሉ በሰሞኑ ስብሰባ ላይ እንደተናገሩ ሰምተናል]
REJECTED | reason=characters changed: [ተቃዋሚንመደገፍቢሆንስወንጀልአይደልም] → [ተቃዋሚንመደገፍቢሆንስወንጀልአይደለም] | original=[ተቃዋሚ ን መደገፍ ቢሆን ስ ወንጀል አይደል ም] | corrected=[ተቃዋሚን መደገፍ ቢሆንስ ወንጀል አይደለም]
REJECTED | reason=characters changed: [የኒውፌስስዋናስራአስኪያጅወይዘሪትናታሊናእንዲህበማለትመልስሰጡ] → [የኒውፌስዋናስራአስኪያጅወይዘሪትናታሊናእንዲህበማለትመልስሰጡ] | original=[የ ኒው ፌስ ስ ዋ ና ስራ አስኪያጅ ወይዘሪት ና ታ ሊ ና እንዲ ህ በ ማለት መልስ ሰጡ] | corrected=[የኒው ፌስ ዋና ስራ አስኪያጅ ወይዘሪት ናታሊና እንዲህ በማለት መልስ ሰጡ]
REJECTED | reason=characters changed: [ማሸነፋችንንእንጂስለምንናበምንእንዳሸነፍንየሚያስረዳንአላገኘንም] → [ማሸነፋችንንእንጂስለምናናበምንእንዳሸነፍንየሚያስረዳንአላገኘንም] | original=[ማሸነፋችን ን እንጂ ስለምን ና በምን እንዳ ሸነፍ ን የሚ ያስረዳ ን አላገኘ ንም] | corrected=[ማሸነፋችንን እንጂ ስለምናና በምን እንዳሸነፍን የሚያስረዳን አላገኘንም]
REJECTED | reason=characters changed: [እንደውግንትንሽእንኳንጥርጣሬውስጥየገባችሁበትእለትየለምነበር] → [እንደውምግንትንሽእንኳንጥርጣሬውስጥየገባችሁበትእለትየለምነበር] | original=[እንደ ው ግን ትንሽ እንኳ ን ጥርጣሬ ውስጥ የ ገባችሁ በት እ ለት የ ለ ም ነበር] | corrected=[እንደውም ግን ትንሽ እንኳን ጥርጣሬ ውስጥ የገባችሁበት እለት የለም ነበር]
REJECTED | reason=characters changed: [እውነትለመናገርከወጣትቡድንየወጡትተጫዋቾችምንምአያውቁም] → [እውነትለመናገርከወጣትቡድንየወጡትተጫዋቾችምምንምአያውቁም] | original=[እውነት ለ መናገር ከ ወጣት ቡድን የ ወጡት ተጫዋቾች ም ንም አያውቁ ም] | corrected=[እውነት ለመናገር ከወጣት ቡድን የወጡት ተጫዋቾችም ምንም አያውቁም]
REJECTED | reason=characters changed: [ደግሞምእኮከብዙነገሮችአኳያስናጤነውየኢትዮጵያዊያንቡድንግብጻዊዳኛእያጫወቱትምንምያህልውጤትያገኛል] → [ደግሞምእኮከብዙነገሮችአኳያስናጤነውየኢትዮጵያዊያንቡድንግብጻዊዳኛእያጫወቱትምምንምያህልውጤትያገኛል] | original=[ደግሞ ም እ ኮ ከ ብዙ ነገሮች አኳያ ስ ና ጤነ ው የ ኢትዮጵያዊያ ን ቡድን ግብጻዊ ዳኛ እያ ጫወቱ ት ም ንም ያህል ውጤት ያገኛ ል] | corrected=[ደግሞም እኮ ከብዙ ነገሮች አኳያ ስናጤነው የኢትዮጵያዊያን ቡድን ግብጻዊ ዳኛ እያጫወቱትም ምንም ያህል ውጤት ያገኛል]
REJECTED | reason=characters changed: [ኳስንማስተማርብቻሳይሆንህጻናትንእንዴትመቅረጽእንዳለባችውህጻናትንእንዴትሀሳብለሀሳብመግባባትእንዳለባቸውትምህርትሊያገኙይገባል] → [ኳስንማስተማርብቻሳይሆንህጻናትንእንዴትመቅረጽእንዳለባቸውህጻናትንእንዴትሀሳብለሀሳብመግባባትእንዳለባቸውትምህርትሊያገኙይገባል] | original=[ኳስ ን ማስተማር ብቻ ሳይሆን ህጻናት ን እንዴት መቅረጽ እንዳለ ባችው ህጻናት ን እንዴት ሀሳብ ለ ሀሳብ መግባባት እንዳለ ባቸው ትምህርት ሊ ያገኙ ይገባል] | corrected=[ኳስን ማስተማር ብቻ ሳይሆን ህጻናትን እንዴት መቅረጽ እንዳለባቸው ህጻናትን እንዴት ሀሳብ ለሀሳብ መግባባት እንዳለባቸው ትምህርት ሊያገኙ ይገባል]
REJECTED | reason=characters changed: [እንደውምምጽዋየሚገኙፖሊሶችኢትዮጵያውያንንካገኙዋነኛገራፊዎችናአሰቃዮችናችው] → [እንደውምምጽዋየሚገኙፖሊሶችኢትዮጵያውያንንካገኙዋነኛገራፊዎችናአሰቃዮችናቸው] | original=[እንደ ውም ምጽዋ የሚገኙ ፖሊሶች ኢትዮጵያውያ ን ን ካገኙ ዋነኛ ገራፊ ዎችና አሰቃ ዮች ና ችው] | corrected=[እንደውም ምጽዋ የሚገኙ ፖሊሶች ኢትዮጵያውያንን ካገኙ ዋነኛ ገራፊዎችና አሰቃዮች ናቸው]
REJECTED | reason=characters changed: [አንዳንድየንአካባቢውምንጮችእንደገለጹትከሆነከዚህቀደምቋንቋውንበመቃወማቸውታስረውየነበሩሰዎችንእስከማስፈታትደረጃተደረሰ] → [አንዳንድየአካባቢውምንጮችእንደገለጹትከሆነከዚህቀደምቋንቋውንበመቃወማቸውታስረውየነበሩሰዎችንእስከማስፈታትደረጃተደረሰ] | original=[አንዳንድ የ ን አካባቢው ምንጮች እንደ ገለጹት ከሆነ ከዚህ ቀደም ቋንቋው ን በ መቃወማቸው ታስረው የነበሩ ሰዎች ን እስከ ማስፈታት ደረጃ ተደረሰ] | corrected=[አንዳንድ የአካባቢው ምንጮች እንደገለጹት ከሆነ ከዚህ ቀደም ቋንቋውን በመቃወማቸው ታስረው የነበሩ ሰዎችን እስከ ማስፈታት ደረጃ ተደረሰ]
REJECTED | reason=characters changed: [ስዊዘርላንድከኢትዮጵያይልቅወደኤርትራስትንሸራተትየምትታይአገርነች] → [ስዊዘርላንድከኢትዮጵያይልቅወደኤርትራስትንሸራተትየምታይአገርነች] | original=[ስዊዘርላንድ ከ ኢትዮጵያ ይልቅ ወደ ኤርትራ ስት ን ሸራተት የምት ታይ አገር ነች] | corrected=[ስዊዘርላንድ ከኢትዮጵያ ይልቅ ወደ ኤርትራ ስትንሸራተት የምታይ አገር ነች]
REJECTED | reason=characters changed: [አብዛኛዎቹመምህራንምስራፈተውሴምስተሩንእንደሚያሳልፉታውቋል] → [አብዛኛዎቹመምህራንምስራፈትውሴምስተሩንእንደሚያሳልፉታውቋል] | original=[አብዛኛዎቹ መምህራን ም ስራ ፈተ ው ሴምስተሩን እንደሚ ያሳልፉ ታውቋል] | corrected=[አብዛኛዎቹ መምህራንም ስራ ፈትው ሴምስተሩን እንደሚያሳልፉ ታውቋል]
REJECTED | reason=characters changed: [እኚህየኦህዴድባለስልጣንስድስትወራትሊያቆያቸውየሚችለውምንሊሆንእንደሚችልእንቆቅልሽነውበማለትአስተያየታቸውንየሚለግሱታዛቢዎችበርካታናቸው] → [እኚህየኦህዴድባለስልጣንስድስትወራትሊያቆያቸውየሚችለውምምንሊሆንእንደሚችልእንቆቅልሽነውበማለትአስተያየታቸውንየሚለግሱታዛቢዎችበርካታናቸው] | original=[እኚህ የ ኦህዴድ ባለስልጣን ስድስት ወራት ሊያ ቆያቸው የሚ ችለው ም ን ሊሆን እንደሚ ችል እንቆቅልሽ ነው በ ማለት አስተያየታቸው ን የሚ ለግሱ ታዛቢዎች በርካታ ናቸው] | corrected=[እኚህ የኦህዴድ ባለስልጣን ስድስት ወራት ሊያቆያቸው የሚችለውም ምን ሊሆን እንደሚችል እንቆቅልሽ ነው በማለት አስተያየታቸውን የሚለግሱ ታዛቢዎች በርካታ ናቸው]
REJECTED | reason=characters changed: [ታዋቂውየኢጣሊያምሁርሻእቢያናየኢጣሊያንንመንግስትአወገዙ] → [ታዋቂውየኢጣሊያምሁርሻእቢያናየኢጣሊያንመንግስትአወገዙ] | original=[ታዋቂ ው የ ኢጣሊያ ምሁር ሻእቢያ ና የ ኢጣሊያ ን ን መንግስት አወ ገዙ] | corrected=[ታዋቂው የኢጣሊያ ምሁር ሻእቢያ ና የኢጣሊያን መንግስት አወገዙ]
REJECTED | reason=characters changed: [ስደተኞቹከሞትመትረፋቸውንናየተገደሉምእንዳሉገልጸዋልብሏል] → [ስደተኞቹከሞትመትረፋቸውናየተገደሉምእንዳሉገልጸዋልብሏል] | original=[ስደተኞቹ ከ ሞት መትረፋቸው ንና የ ተገደሉ ም እንዳሉ ገልጸዋል ብሏል] | corrected=[ስደተኞቹ ከሞት መትረፋቸውና የተገደሉም እንዳሉ ገልጸዋል ብሏል]
REJECTED | reason=characters changed: [እነዚያሰባትመቶየሚጠጉየኢትዮጵያተቃዋሚሀይሎችበኤርትራየተወሰዱትበዚያበኩልተደራጀተውኢትዮጵያንእንዲወጉነበር] → [እነዚያሰባትመቶየሚጠጉየኢትዮጵያተቃዋሚሀይሎችበኤርትራየተወሰዱትበዚያበኩልተደራጅተውኢትዮጵያንእንዲወጉነበር] | original=[እነዚያ ሰባት መቶ የሚ ጠጉ የ ኢትዮጵያ ተቃዋሚ ሀይሎች በ ኤርትራ የተ ወሰዱት በዚያ በኩል ተደራጀ ተው ኢትዮጵያ ን እንዲ ወጉ ነበር] | corrected=[እነዚያ ሰባት መቶ የሚጠጉ የኢትዮጵያ ተቃዋሚ ሀይሎች በኤርትራ የተወሰዱት በዚያ በኩል ተደራጅተው ኢትዮጵያን እንዲወጉ ነበር]
REJECTED | reason=characters changed: [ስብሀትንበኢሳያስበኩልተወዳጅያደረጋቸውታማኝነታችውእንጂችሎታቸውእንዳልሆነድርጅቱንበቅርቡየሚያውቁትምሁሮችይናገራሉ] → [ስብሀትንበኢሳያስበኩልተወዳጅያደረጋቸውታማኝነታቸውእንጂችሎታቸውእንዳልሆነድርጅቱንበቅርቡየሚያውቁትምሁሮችይናገራሉ] | original=[ስብሀት ን በ ኢሳያስ በኩል ተወዳጅ ያደረጋቸው ታማኝ ነታችው እንጂ ችሎታቸው እንዳልሆነ ድርጅቱ ን በ ቅርቡ የሚ ያውቁት ምሁሮች ይናገራሉ] | corrected=[ስብሀትን በኢሳያስ በኩል ተወዳጅ ያደረጋቸው ታማኝነታቸው እንጂ ችሎታቸው እንዳልሆነ ድርጅቱን በቅርቡ የሚያውቁት ምሁሮች ይናገራሉ]
REJECTED | reason=characters changed: [የተመድየአስቸኳይእርዳታአስተባባሪኮንሾኦሺማከፍተኛአደጋበኢትዮጵያላይአንዣቧልይለሉ] → [የተመድየአስቸኳይእርዳታአስተባባሪኮንሾኦሺማከፍተኛአደጋበኢትዮጵያላይአንዣቧልይሉ] | original=[የ ተመድ የ አስቸኳይ እርዳታ አስተባባሪ ኮን ሾ ኦሺማ ከፍተኛ አደጋ በ ኢትዮጵያ ላይ አንዣ ቧል ይ ለ ሉ] | corrected=[የተመድ የአስቸኳይ እርዳታ አስተባባሪ ኮንሾ ኦሺማ ከፍተኛ አደጋ በኢትዮጵያ ላይ አንዣቧል ይሉ]
REJECTED | reason=characters changed: [ግንየተናቁጨዋታዎችውጤትይለዋውጣሉ] → [ግንየተናቁጨዋታዎችውጤትይለዋወጣሉ] | original=[ግን የተናቁ ጨዋታዎች ውጤት ይ ለ ዋ ው ጣሉ] | corrected=[ግን የተናቁ ጨዋታዎች ውጤት ይለዋወጣሉ]
REJECTED | reason=characters changed: [ህዝቡናተቃዋሚዎችድጋፋቸውንየሰጡትየአገራቸውመደፈርአነሳስቶአቸውእንጂበውስጣዊፖሊሲዎችተስማምተውአይደለም] → [ህዝቡናተቃዋሚዎችድጋፋቸውንየሰጡትየአገራቸውመደፈርአነሳስቷቸውእንጂበውስጣዊፖሊሲዎችተስማምተውአይደለም] | original=[ህዝቡ ና ተቃዋሚዎች ድጋፋቸው ን የ ሰጡት የ አገራቸው መደፈር አነሳስቶ አቸው እንጂ በ ውስጣዊ ፖሊሲዎች ተስማምተው አይደለም] | corrected=[ህዝቡና ተቃዋሚዎች ድጋፋቸውን የሰጡት የአገራቸው መደፈር አነሳስቷቸው እንጂ በውስጣዊ ፖሊሲዎች ተስማምተው አይደለም]
REJECTED | reason=characters changed: [ወደምርጫየገቡየመንግስስትሰራተኞችከስራመባረራቸውንናወደፊትምሊባረሩእንደሚችሉተገልጧል] → [ወደምርጫየገቡየመንግስስትሰራተኞችከስራመባረራቸውናወደፊትምሊባረሩእንደሚችሉተገልጧል] | original=[ወደ ምርጫ የ ገቡ የ መንግስስት ሰራተኞች ከስራ መባረራቸው ንና ወደፊት ም ሊ ባረሩ እንደሚ ችሉ ተ ገልጧል] | corrected=[ወደ ምርጫ የገቡ የመንግስስት ሰራተኞች ከስራ መባረራቸውና ወደፊትም ሊባረሩ እንደሚችሉ ተገልጧል]
REJECTED | reason=characters changed: [በስተመጨረሻእንዳየነውየወንበዴሰላዮችፓርቲያችንውስጥገብተዋል] → [በስተመጨረሻእንዳይነውየወንበዴሰላዮችፓርቲያችንውስጥገብተዋል] | original=[በስተ መጨረሻ እንዳ የ ነው የ ወንበዴ ሰላዮች ፓርቲያችን ውስጥ ገብ ተዋል] | corrected=[በስተ መጨረሻ እንዳይነው የወንበዴ ሰላዮች ፓርቲያችን ውስጥ ገብተዋል]
REJECTED | reason=characters changed: [ተማሪውስለሁኔታውሲያብራራችግሩይየተነሳውየሲስተኛአመትየሲሲዮሎጂተማሪዎችበፈጠሩትጸብነው] → [ተማሪውስለሁኔታውሲያብራራችግሩየተነሳውየሲስተኛአመትየሲሲዮሎጂተማሪዎችበፈጠሩትጸብነው] | original=[ተማሪው ስለ ሁኔታው ሲ ያብራራ ችግሩ ይ የተነሳ ው የ ሲ ስ ተኛ አመት የ ሲ ሲዮ ሎጂ ተማሪዎች በ ፈጠሩ ት ጸብ ነው] | corrected=[ተማሪው ስለ ሁኔታው ሲያብራራ ችግሩ የተነሳው የሲስተኛ አመት የሲሲዮሎጂ ተማሪዎች በፈጠሩት ጸብ ነው]
REJECTED | reason=characters changed: [ከኢትዮጵያውያኑዜጐችበተጨማሪሌሎችየተለያየሀሀገርዜግነትያላቸውሰዎችእዚያውኬንያውስጥየእስራቱሰለባመሆናቸውተመልክቷል] → [ከኢትዮጵያውያኑዜጐችበተጨማሪሌሎችየተለያየሀገርዜግነትያላቸውሰዎችእዚያውኬንያውስጥየእስራቱሰለባመሆናቸውተመልክቷል] | original=[ከ ኢትዮጵያውያኑ ዜጐች በ ተጨማሪ ሌሎች የ ተለያየ ሀ ሀገር ዜግነት ያ ላቸው ሰዎች እዚያ ው ኬንያ ውስጥ የ እስራቱ ሰለባ መሆናቸው ተመልክ ቷል] | corrected=[ከኢትዮጵያውያኑ ዜጐች በተጨማሪ ሌሎች የተለያየ ሀገር ዜግነት ያላቸው ሰዎች እዚያው ኬንያ ውስጥ የእስራቱ ሰለባ መሆናቸው ተመልክቷል]
REJECTED | reason=characters changed: [ስለማንነታቸውከራሳቸውያገኘነውንገለጽንላችሁወደፖለቲካውጉዳይእንግባ] → [ስለማንነታቸውከራሳቸውያገኘነውንገለጽናላችሁወደፖለቲካውጉዳይእንግባ] | original=[ስለማን ነታቸው ከ ራሳቸው ያገኘ ነውን ገለጽ ን ላችሁ ወደ ፖለቲካው ጉዳይ እንግባ] | corrected=[ስለማንነታቸው ከራሳቸው ያገኘነውን ገለጽናላችሁ ወደፖለቲካው ጉዳይ እንግባ]
REJECTED | reason=characters changed: [ኮስታሪካየማንቸስተሩደዌይትዩሪክሀገርትሪንዳንድንሶስትለዜሮነውያሸነፈችው] → [ኮስታሪካየማንቸስተሩደዌይቱሪክሀገርትሪንዳንድንሶስትለዜሮነውያሸነፈችው] | original=[ኮስታሪካ የማን ቸስተሩ ደዌ ይ ት ዩ ሪክ ሀገር ትሪንዳንድን ሶስት ለ ዜሮ ነው ያሸነፈ ችው] | corrected=[ኮስታሪካ የማንቸስተሩ ደዌይቱሪክ ሀገር ትሪንዳንድን ሶስት ለዜሮ ነው ያሸነፈችው]
